Cluster_Astrocytes_unknown;Cluster_Myeloid_Proliferative_G2M;Cluster_Myeloid_Proliferative_S;Cluster_Stroma_unknown;Cluster_OPC;Cluster_CD4+.T.cells;Cluster_Neutrophils_Monocytes;Cluster_T.cells_core;Cluster_Macrophages_metabolic;Cluster_CD8+.T.cells_effectors;Cluster_Microglia_homeostasis;Cluster_Microglia_core;Cluster_Tregs;Cluster_CD8+.T.cells_proliferative;Cluster_Astrocytes;Cluster_NPC2+.population;Cluster_Polarized.Macrophages;Cluster_Microglia_Cytokine.Chemokyne;Cluster_Neuron_VGF+;Cluster_Proliferative.B.cells;Cluster_Endothelial_ANGPT2+;Cluster_Dendritic.cells;Cluster_Oligodendrocytes;Cluster_Perycites_COL3A1+;Cluster_Activated.B.cells;Cluster_Stroma_progenitor_HES1+;Cluster_Stroma_progenitor_DLK1+
NREP;TUBA1B;FCGR2A;F3;LPPR1;DENND2D;NCF2;IL7R;GLUL;FGFBP2;AC007952.4;APOE;PMCH;IL32;CP;KIT;PLIN2;IL8;RAB3IP;CD37;CDH5;RPS29;CNDP1;COL3A1;FAM30A;FRZB;COL9A3
MAB21L1;NUSAP1;TRAF7;PLOD2;FXYD6;ZAP70;CFP;TUBA4A;GK;CLIC3;P2RY13;FCGR3A;FOXP3;TRAC;DKK3;IGHG3;CSTB;NR4A2;CDH19;BIRC3;IFI27;RPL39;ENPP2;MGP;VPREB3;MDK;APCDD1
MGP;CCNB1;FN1;TGM2;NRCAM;EMB;AREG;LCK;FTH1;GZMH;SCIN;MSR1;IL12RB2;ITGAE;A2M;HPGD;MT1H;IER3;APOD;CD19;ABCG2;RPL41;PTGDS;MYL9;FCER2;NPAS1;NPB
MARCKSL1;LGALS1;TNFRSF11A;BNIP3;MEG3;KIAA1551;PLBD1;PIM2;ERO1L;CCL5;LTC4S;CD74;SH2D2A;LAT;WLS;CD69;ZFAND2A;CCL4L1;POSTN;NOP53;IGFBP3;HLA-DQB2;TUBB4A;PDGFRB;TNFRSF13C;TSPAN8;ECEL1
CPE;ALOX5AP;LGALS1;IL6;CA10;GZMK;TIMP1;CD52;CD300E;GZMA;MT-ND5;SIGLEC10;RGPD1;PCLAF;SERPINA3;MS4A2;C15orf48;PTGS2;S100A1;TNFRSF13C;MCAM;LST1;MOG;OLFML2A;STAG3;COL3A1;FBLN1
TPPP3;MT-ND5;CD36;SLC39A14;CSPG4;ETS1;FGR;TRAF5;MMP19;CD7;GPR34;HLA-DRB5;CD79B;APOBEC3G;MYH10;MZB1;NUPR1;NR4A3;MT-ATP6;ISG20;ESAM;PLAC8;ABCA2;COL1A2;FCMR;MGP;WIF1
MLLT11;YBX1;UPP1;CTGF;GRIA2;CD3D;NAMPT;LTB;C15orf48;CST7;MT-CO3;CSF1R;LAG3;GNLY;KRT18;IL1RL1;SERPINH1;TSC22D2;CHL1;LINC00926;HYAL2;TMSB10;APLP1;UACA;IGHD;RP11-65J3.1;DSP
CADPS;AP2S1;CXCL2;IFITM1;SCD5;CD3E;G0S2;CD3E;TGFBI;KLRF1;APOC1;HLA-DMB;TNIP3;C12orf75;FSTL1;SLC18A2;HSPD1;EGR3;BEX3;BLK;GNG11;RPS21;CLDND1;TPM2;TCL1A;CNPY1;COL1A2
SST;KIAA0101;CXCL3;CAV1;TSC22D1;IL32;THBS1;ISG20;SDS;GZMM;IGSF6;RGS2;TNFRSF9;CRIP1;BGN;VWA5A;MARCO;SLCO2B1;ZBTB20;AFF3;CD34;RPS27;CNTN2;TAGLN;BCAS4;IFITM3;SALL3
PTMS;HMGB1;PLAUR;FN1;PCDH15;PTPRCAP;SELL;PIK3IP1;NUPR1;CMC1;PLD4;TREM2;RP11-347P5.1;HMGB2;NNMT;HPGDS;HSPA1B;OLR1;SERPINE2;RACK1;CLEC14A;RPL36A;GPRC5B;SPARC;CD79B;MSX1;CAVIN2
RP11-51M18.1;CKS1B;SLC2A3;C1S;FIBIN;GZMH;EREG;ACAP1;MT1H;CD52;OGFRL1;TM6SF1;CCDC141;GZMK;SSX2IP;GATA2;DNAJA4;CH25H;MT-CYB;RALGPS2;GPR116;RPL37;OPALIN;ENPEP;LINC01116;TNFRSF12A;ASPSCR1
MDK;TK1;STK24;TM4SF1;LHFPL3;KLRC1;CCL20;CISH;G0S2;SAMD3;CTSZ;MS4A6A;RTKN2;TRBC1;C1S;HDC;G0S2;BTG2;GADD45A;RIPOR2;PODXL;CD207;KLK6;SMOC2;RAB37;DSTN;EMILIN1
PCDH17;ASPM;SLC25A37;PRSS23;MAP2;PRF1;MPEG1;RHOF;ADAM8;GZMK;HLA-DPA1;LAIR1;IL2RA;CD2;TNC;IGHG2;HMOX1;NFKBID;NOVA1;YBX3;ADAMTS1;C1orf162;SPOCK3;MCAM;PLPP5;MT1X;MT3
TNNC1;H2AFV;SLC39A8;RPL13AP5;PMP2;LAT;FAM65B;CCR7;SLC2A3;TXK;SAP30;FCGBP;TNFRSF4;CDC20;CNN3;C1orf186;HK2;FCGBP;MT-ND3;KLF2;EPAS1;S100A4;SEPP1;EPAS1;FCRLA;TMEM88;PHPT1
BARHL1;DEK;PFN1;CCL2;ARC;LCP1;SERPINB1;CHST12;VCAN;KLRC1;BHLHE41;HLA-DRA;MAST4;ASPM;SFRP2;PIM2;HSPE1;TMEM119;TNR;CLEC2D;PCDH12;HLA-DQA2;CA2;PTP4A3;YBX3;MT2A;LINC01896
CHGA;HIST1H1D;PDLIM7;TRIB3;NEU4;IL2RG;MXD1;SEPT1;CXCL3;IL32;HLA-DQB1;GPR34;TNFRSF18;CD3G;C4A;LIF;TIMP1;PLEK;MT1M;FCMR;ITM2A;CD1C;SLC24A2;CSRP2;BANK1;C19orf81;NKD1
HN1;STMN1;ALOX5;CA9;TUBB2B;F2R;GCA;CCR5;HMOX1;MYBL1;C3;OLFML2B;SLAMF1;CORO1A;FBXO32;FKBP11;FKBP4;TNFAIP3;C1orf61;P2RX5;PXDN;HLA-DPA1;SOX2-OT;PTN;MS4A1;HES4;MDK
TTR;RANBP1;CCDC86;HILPDA;SERPINE2;CYTIP;MNDA;KLRB1;FTL;CD3D;FYB1;CPVL;GATA3;RHOF;SULF1;P2RX1;ERO1L;NABP1;CPE;RPS29;TM4SF18;PKIB;CAPN3;PPP1R14A;CD79A;ATP5I;LAMP5
OTX2;MZT2B;CD163;SERPINE1;FGF12;CLEC2D;NLRP3;CD247;CTSB;PTPRCAP;MT-ND4;CPM;LAX1;SH2D1A;VTN;XBP1;CXCL3;DUSP1;SCG2;RPS27;EDN1;SPI1;GPM6B;SLC12A2;RALGPS2;ATP1A2;MT-CO3
CXXC5;PTMA;CLEC4A;CHI3L1;SIRT2;OXNAD1;THBD;PTPRCAP;BCAT1;YPEL1;MT-ND2;HLA-DPA1;TESPA1;CTSW;CCL2;DERL3;LGALS1;ZFP36L1;COL20A1;VPREB3;TM4SF1;TMSB4X;PLEKHH1;COL18A1;SPIB;TRIM36;RBP1
PTHLH;PFN1;SPP1;C1R;NLGN3;STAT4;LILRB2;CD3G;PLAUR;MATK;APBB1IP;PDK4;AQP3;LCK;VIM;SSR4;S100A10;CX3CR1;GTF2I;ETS1;NOTCH4;RPL34;SLAIN1;EBF1;LY9;C9orf16;NT5DC2
NGFRAP1;COX8A;VDR;C8orf4;SCG3;CCR5;IL1B;GZMK;ANGPTL4;XCL2;AC245014.3;MS4A4A;SIRPG;RAC2;AQP4;TXNDC5;FTH1;TMEM107;TSC22D4;RPS17;APLN;CLEC10A;HSPA2;ACTA2;PRKCB;EDN2;MT-ND1
LHX1;ANP32B;PTPN7;AHNAK2;EPN2;TRAT1;RP11-1143G9.4;CD8A;CTSD;PYHIN1;IL18;SIGLEC1;SOCS1;MKI67;LTF;CSF2RB;SLC2A1;ID2;MT-CO3;SP140;PRSS23;CST7;PLEKHB1;ADAMTS1;IKZF3;SMARCD3;PTH1R
NRN1;CDK1;SH3BGRL3;TPM1;GRIA3;TBC1D10C;SAMSN1;CD7;FBP1;TRBC1;C1QA;FOLR2;TRBC1;TRBC2;C1R;LAX1;IL1RN;SERPINE1;GAP43;RPL39;MGP;VASP;SCD;ACTG2;RIPOR2;PPIC;IGF2.1
OTOR;CKS2;MARCO;OSMR;CADM2;AKNA;SLC2A3;RASAL3;AQP9;HOPX;HLA-DRA;ZNF331;GRAP2;DOK2;IFITM1;RAC2;UPP1;SGK1;POLR2J3.1;RPS21;PGF;RACK1;MYRF;IGFBP5;ISG20;FGFR3;MME
STMN1;TPX2;PKM;GFPT2;BCAS1;ITGAL;VCAN;TRAC;CD68;PLAC8;MEF2C;CH25H;CTLA4;CDC25B;ACTN1;FCRL5;CXCL8;CDKN1A;MT1E;IGLC2;TIMP3;RPL35A;MOBP;PLXDC1;CCR7;RP1-241P17.4;OAF
CELF4;TUBA1C;TYMP;SFRP2;SCRG1;TC2N;BCL2A1;RARRES3;BHLHE40;MCTP2;TREM2;CXCL16;PDCD1;SIT1;FHL1;MAOB;ADM;IER2;SPARCL1;FAM129C;NID2;RPL21;CRYAB;SPON2;RCSD1;MMP23B;CENPF
AK1;SNRPG;S100A6;THBS1;ATCAY;PRKCH;TKT;CXCR6;TREM1;HCST;TMEM119;TNFSF13;TIGIT;CD3E;NTRK2;GRAP2;NDRG1;NLRP3;MT-CO2;CD22;ENG;RPL26;ADAMTS4;THY1;AFF3;ID4;SNCG
TCEB2;TYMS;GRPEL1;TPM2;BCHE;PTPRC;FPR1;SIT1;SDCBP;ABHD17A;CX3CR1;PLXDC2;TRBC2;CST7;GJA1;IL18R1;BHLHE40;FCGR3A;MT-ND4;FCRL1;ESM1;RPL27A;ZDHHC9;CDH6;CD24;UQCRQ;MT-CYB
BASP1;SMC4;LCP2;ENO2;OLIG1;GPR171;LILRA5;C16orf54;FCGR2B;ETS1;RNASET2;C2;PYHIN1;PFN1;DPYSL2;CDK15;CLEC2B;NR4A1;SNTG1;SPIB;EDNRB;HLA-DRB5;TPPP;COL1A1;TRAF5;BICC1;MZT2B
NFIB;MT-CO2;MGAT1;CYP1B1;GPR37L1;THEMIS;S100A6;ICAM3;SPP1;RIPOR2;CYBA;HLA-DMA;SYTL1;KLRD1;SUSD2;MLPH;LDHA;C3;KHDRBS3;GABPB1-AS1;CTGF;RPS28;FEZ1;JAG1;LTB;EPHX1;HIST1H1D
HIST1H4C;DUT;LILRB2;EGLN3;SLC35F1;MIAT;PADI4;CD6;INSIG1;MYOM2;PLEKHO1;GAA;IL21R;PYHIN1;HEATR5A;SLAMF7;CXCL2;SORL1;NTM;PRKCB;SDPR;HLA-DRA;TTYH2;FRMD3;IGHG3;COX6A1P2;SDC1
NDUFA4;CDKN3;GNAI2;EEF1G;PFN2;CD3G;ANXA1;DUSP4;S100A10;RUNX3;SHTN1;RGS1;IKZF3;UBE2C;VCL;TMOD1;MT1E;CXorf21;NRCAM;PLPP5;RGCC;SNX3;ELOVL1;LHFP;IGHG1;CRLF1;PCOLCE
NEUROD1;VAMP8;CD14;CDCP1;PTN;HCP5;SOCS3;SPOCK2;LGALS1;MAPK1;MT-CO2;MFSD1;BATF;HMGN2;LTBP4;SEC11C;RGCC;CSF1R;SEMA3E;RPL37;APOLD1;RPS19;LAMP2;GJC1;BIRC3;MATN3;PTMS
SYT4;UQCRQ;HAUS1;AKAP12;APOD;CD27;STK17B;FAM46C;TIMP1;AC092580.4;C1QB;CIITA;TRAC;SAMD3;CFB;IRF4;IER5;NFKBIZ;SPOCK1;RASGRP2;INSR;YWHAH;PMP22;BGN;JCHAIN;CLEC11A;ODC1
CACNA2D1;MT-CO3;YBX1;RPL17;COL9A1;DEF6;CLEC12A;SLA2;CCL20;TRDC;HLA-DMA;LILRB4;ICOS;SLA2;PRSS23;AKAP2;SOD2;MAP3K8;CC2D1A;TNFRSF13B;PLVAP;ATP5MG;CARNS1;GJA4;CLEC2D;USMG5;TRIP6
HES6;RPL35;S100A10;NT5E;SLC1A2;PIK3IP1;LILRA3;CTSW;LIMS1;CD160;PALD1;ADAM28;AC114760.2;CENPF;HSPB8;BTG2;LGALS3;B3GNT5;GNAS;LIMD2;ID1;RPS24;FOLH1;LINC00152;NOP53;ATP5L;COL6A2
GNB3;AP1S2;MSTO1;BGN;LUZP2;STK17B;CLEC4E;CAMK4;CTSL;PTGDR;LINC01736;C3AR1;MAP4K1;CXCR3;PLA2G2A;COBLL1;FTL;SIGLEC10;PLPP3;FCRL2;BCL6B;RPS23;PIP4K2A;APOLD1;IGHM;HSPB1;CRLF1
DACH1;CDC20;GPR183;LTBP1;PSAT1;JAK3;MX2;BTN3A2;SDC2;APOBEC3G;CYFIP1;CD68;ISG20;BIRC5;DPYSL3;UBE2J1;CYTIP;SLC2A5;RARRES2;IKZF3;KDR;RPS15A;ANLN;TIMP1;RPS17;HSBP1L1;IGFBP7
ZNF428;CENPE;YDJC;COL1A2;NXPH1;SLFN5;SIRPB1;TCF7;GSTO1;LINC00861;USP53;HAMP;BCL11B;PTTG1;FLNA;STAP1;VEGFA;ABL2;GRIA2;CYB561A3;AFAP1L1;CST3;TUBA1A;FRZB;CD52;SHFM1;RFLNB
PRL;MT-ATP6;ANPEP;MYC;COL20A1;KLRB1;CXCL2;TRBC2;PGK1;TMIGD2;JUND;AXL;CXCR3;CD96;ASS1;LAT;ANPEP;SERPINB9;SCG3;BTLA;ROBO4;COMMD6;SEPT8;CSPG4;CD37;PAIP2B;SCX
TPM1;TMSB10;MMP19;IFITM3;PHYHIPL;APOBEC3G;C19orf59;PRF1;CXCL8;IL2RB;FCGR1A;TBXAS1;CD28;H2AFV;SVEP1;ARHGEF6;CACYBP;ELL2;TRIO;BCL11A;PTPRB;RPS14;SLC48A1;GNG11;IGLC3;CDKN1C;MT-ATP6
PCSK1N;DTYMK;POP4;GNB2L1;C8orf46;ITGAE;PELI1;NKG7;SLC16A10;GIMAP7;LST1;HERPUD1;SLAMF6;IL2RG;MLC1;SDC1;MIF;RGS1;SLC1A2;LINC02397;CALCRL;ATP5F1E;PLLP;NID1;IGKC;PTCH1;RPS4Y1
ZIC1;POLR2L;NAGA;NNMT;PDZD2;SLA2;EVI2B;CD8B;PFKFB3;ADGRE5;POU2F2;NAPSB;SEPT1;HOPX;NPY;GCSAML;TREM1;VSIG4;LMO4;FCER2;EGFL7;CD52;PPAP2C;SERPING1;IGLC2;PTRF;NES
MSX1;ZWINT;LDHA;CFB;SEZ6L;CD247;IRAK3;GZMH;SOD2;RP11-291B21.2;LPAR6;CD14;IL2RB;CD7;ABLIM1;IKZF3;GAPDH;GPR183;NRXN2;POU2F2;RAMP2;RPL22;SLC12A2;S1PR3;;FENDRR;COMP
C14orf2;ATP5F1E;KLHL5;CLIC4;NCAM1;KRT86;BST1;CD69;MPP1;ISG20;HLA-DOA;ADAMDEC1;GPR171;PSMB9;AHNAK2;SEL1L3;CTSL;SIGLEC8;HIP1;AES;FLT1;RAB32;HEPN1;MFGE8;;PTN;CCND1
SHFM1;MT-ND4;ANXA2;IARS;TRIM9;CD5;HCK;GZMB;LDHA;TBC1D10C;OTULINL;CTSH;SIT1;ATP5MC3;CRIP2;POU2AF1;BCL2A1;FOSB;MT-CO1;POU2AF1;DOCK9;RPL38;NFASC;PCOLCE;;MAP1LC3A;CRABP2
CRIP2;LMNB1;HPRT1;FBLN1;TSPAN3;NKG7;LILRA6;CST7;NRP1;GSAP;KLF2;APOC2;ICA1;DUT;CAV1;ERLEC1;SLC2A3;RASGEF1B;NORAD;PLAC8;ECSCR;RNASE6;JAM3;COL5A2;;ATP5J;KIF7
RTN1;YWHAH;DOCK2;VCL;RAB31;SLAMF6;FCAR;TRBC1;KYNU;CD3G;C12orf57;HLA-DRB6;FAIM3;RASGRP1;TGFB2;CD38;S100A8;PTGER4;BEX1;OGA;LAMC1;CRIP1;CSRP1;NOTCH3;;NOG;MT-CO2
LINC00461;HMMR;GBGT1;CNN3;LINC00643;PTPN22;AQP9;ZAP70;SAMSN1;KLF2;SMAP2;HLA-DRB1;DUSP4;CD8B;F3;RGS13;SPP1;NFKBIA;SELENOW;AC025164.1;ACE;RPL35;ATP1B1;FILIP1L;;OBSL1;MT-ND2
BEX2;TMSB4X;ARHGAP4;RPLP0;PCDH9;SH2D1A;LTA4H;LIMD2;SLC2A1;LYAR;KCTD12;FCGRT;HPGD;CXCR6;CDO1;TRAM1;ANXA1;CCL2;DNER;RPL21;DLL4;S100A6;OMG;HES4;;ATPIF1;MT-ND4
CA4;HMGN2;SNX8;UAP1;LSAMP;PDCD4;CLEC4D;CD27;GAPDH;SOCS1;MEF2A;SLC2A5;CD7;KIF2C;COL1A2;FKBP2;P4HA1;SAT1;TMEM132B;S1PR4;ACVRL1;RPS17;TRIM2;APOD;;ROMO1;LINC01116
BEX1;ATP5ME;OSM;SERPINA3;CCND1;CD69;ARL4A;CXCR3;CXCL2;TBX21;FCGR1B;SLC11A1;ACP5;RHOH;ARID5B;CD79A;DNAJA1;KLF6;SCRG1;SNHG7;PALMD;RPL36;DHCR24;TMEM204;;CSRP2;NFE2L3
NDUFS5;RPA3;RETN;ACTN1;DNER;IL2RB;MYO1F;OXNAD1;MIF;EOMES;SLC8A1;CLEC7A;CD27;H2AFZ;ANTXR1;CREB3L2;ERO1A;BCL2A1;EDIL3;RPL18A;CA2;RPL32;LPAR1;LZTS1;;LSMD1;RACK1
UQCR11.1;NDUFB1;RNASE1;COL5A1;TUBA1A;SLC38A1;SRGN;GIMAP7;HILPDA;PLEKHF1;MT-ND4L;ADORA3;GBP5;CNN2;CFI;GZMB;ANKRD37;C3AR1;SOX2;FAM30A;CALD1;UBA52;GPR37;LUM;;NACA2;LTBP3
EBF1;CXCL3;IVNS1ABP;CFH;NRXN1;CST7;CSTA;EVL;EREG;AC245297.3;DOCK4;SLCO2B1;PBXIP1;ADA;CLDN1;ITM2C;ATP6V1F;ETS2;EPN2;BTG1;CD59;RPL31;SLC44A1;CPE;;MEIS1;NRXN2
HNRNPA0;SLIRP;SNRPA1;C17orf76-AS1;ALDOC;CTSW;LILRA1;AQP3;IL4I1;LAIR2;AC103591.3;HLA-DPB1;CD3G;ATP5MG;CRYAB;CALB2;HILPDA;OTUD1;THBS4;CPNE5;RGS3;RPLP2;SORT1;CRIP1;;IFI6;SP5
ZBTB18;TUBB;CDC73;FHL2;MPZL1;IL16;KYNU;ATP2A3;SMIM3;SH2D1B;ATP2B1-AS1;ITGB2;LTB;CDK2AP2;PI16;TNFRSF17;S100A6;PPP1R15A;MT-ND1;NSD3;TGM2;CD1E;SEMA3B;GPR116;;NPY;MKI67
SUMO2;PCLAF;ACSL4;EMP1;ATP6V0E2;NBEAL2;RETN;SKAP1;MGAT1;NCR3;CPED1;MERTK;CD247;ANP32B;LAMB2;ISG20;SEC61G;ZFP36;DST;RPS15A;LXN;RGS10;APBB1;HEYL;;ATP5L2;HIST1H1B
ATP5J2;MT-CO1;R3HCC1L;DCN;ITM2A;RAC2;PLAUR;LAT;HEXB;IKZF3;LPAR5;LY86;LAT;PTPRCAP;FAM84B;PTPN7;EMP3;ATF3;FABP7;RPL41;ECE1;RPL28;CD9;PGF;;CLTB;MAMDC4
RP11-445F12.1;SLC16A3;GNB2;FLNA;SNX22;ERAP2;CXCL3;CD48;BNIP3L;XCL1;CSF2RA;C10orf54;TBC1D10C;BIN2;ITGB8;CTSW;S100A9;PALD1;ASCL1;RPS28;LAMA4;TMA7;CDK18;TFPI;;DCXR;PRDX5
ARL4D;LSM4;AP1S2;RPS5;LRRTM2;TTN;USP15;TRAT1;SLC11A1;GFOD1;SRGAP2;LGMN;GZMK;CD6;IFITM3;APOBEC3C;CCL20;KLF4;APP;NCF1;S1PR1;CD74;MAL;PLAC9;;HMGN3;STMP1
CIRBP;CAPG;IFNGR2;CLU;GRIA4;DUSP2;CSF3R;RAC2;HIF1A;ACAP1;ARHGAP24;MAFB;UGP2;ZAP70;ITGB4;MCTP2;GPNMB;LAT2;HAP1;STAG3;NQO1;RPL27;PLA2G16;CRISPLD2;;EFEMP2;MXRA8
CBX1;S100A10;PDCL3;ENO1;PLLP;CNN2;RGS18;TRAF3IP3;GNS;CD96;MT-ND6;LPAR6;BIRC3;RPS17;TPM1;ATP2A3;ATP6V1G1;CCL20;BAALC;RPL34;PLS3;SMCO4;PHGDH;SERPINH1;;KIAA1462;RNF43
ATP5J;PLK1;S100A11;ITGA3;B3GNT7;PARP8;CPPED1;PRKCH;LGALS3;SLFN12L;SRGAP2B;SGK1;CXCR6;ARPC5L;THBS1;RAB37;ALDOA;ST6GAL1;PNISR;RPL30;SLC7A11;C1orf54;GJB1;GGT5;;RAMP1;NORAD
CCNI;SERF2;PKIB;ALDOA;SOX6;GIMAP7;C9orf72;TC2N;BTG1;SLFN13;ZNF106;C5AR1;CD3E;TOP2A;TIMP3;SPCS1;BTG1;PLEKHO2;VWA1;CD69;TIE1;RPL37A;TMEM63A;SELM;;COX20;SLC7A8
CSRP2;HNRNPAB;CAPG;PTGDS;HIP1R;SEPT1;CASP1;ARHGEF1;CXCL5;KLRG1;VSIR;FCGR2A;CST7;CDKN3;ITSN1;SUB1;NFKBIA;CD14;RNF157;EBLN3P;ID3;LGALS2;RAPGEF5;TPM1;;PPAPDC1B;SPINT2
SF3B14;RAN;SLC37A2;ISLR;C3orf70;NLRC3;STX11;ITGAL;MT1E;ZBP1;SIGLEC8;IFI44L;PTPRCAP;SNRPG;AHNAK;SMC4;IL8;LPCAT2;MARCKSL1;FCRL5;FKBP1A;RPS15;GLTP;EHD2;;KANK2;TSC22D4
ATP5E;LDHA;IFI30;PLP2;AFAP1L2;CD6;TLR2;ETS1;RGCC;IFNG;ANKRD22;RHBDF2;ACAP1;TAP1;STON2;HSP90B1;NEAT1;CXCL3;SLC22A17;OSBPL10;BTNL9;JAML;PRUNE2;PDE5A;;C7orf55;GTF2I
SOX11;POMP;ALG8;RPS17L;SGCB;SPOCK2;GK;CLEC2D;RNASE1;KRT81;LYL1;HLA-DOA;PIM2;JPT1;COL1A1;RALGPS2;SH3BGRL3;KDM6B;AEBP1;RPLP2;ARHGAP29;RPS7;FAIM2;MGLL;;TJP1;CENPX
COX7A2;HIST1H1B;AP2S1;MCFD2;NDRG4;ZNF683;TLR4;ZNF683;ALDOA;CD2;Z93241.1;CFD;TUBA4A;CEP57;C10orf10;TPST2;EIF4EBP1;RGS16;EEF1A2;PSMB8-AS1;NID1;IDO1;AIF1L;B3GNT2;;GPX4;LINC01971
NDUFC2;UBE2S;C1GALT1C1;CD44;SMOC1;FAM46C;LILRB3;CNN2;TNFRSF1B;HSH2D;AC004687.1;CSF3R;CLEC2D;PPDPF;LGALS3BP;ICAM3;GNA15;CXCL2;LRRC4C;HLA-DOB;SLC38A5;RPL30;GNAI1;CD248;;MEST;VEGFB
KMT2E;RPL37A;TREM1;CCDC80;TNFRSF21;TMEM2;SOD2;BTN3A1;LAPTM5;SLCO4C1;PLXDC2;IRF8;SPOCK2;HLA-A;BMP4;ANKRD36B;GSTO1;CLEC7A;CADM4;IFT57;TCN2;RPL14;APOD;IFITM3;;JAM2;VWA1
NEUROD2;SMC2;GLUD1;RCN1;SLC1A1;CD8B;NUMB;SLAMF6;FABP5;CAPN12;LPCAT2;FPR1;IL32;ARHGDIB;LHFP;CD52;HSP90AB1;GPR34;PCDHGB6;LINC01116;LAMB1;PFN1;TMEM125;CLEC11A;;FAM177A1;CCDC74A
YBX1;TMA7;TRPS1;CP;MAGED1;NLRC5;HPSE;RASGRP1;SLAMF9;LGALS9B;OLFML3;FGL2;CD3D;PTPN7;CDH2;ELL2;FBP1;NAGA;CACNA1A;HVCN1;PTRF;CLEC9A;PCDH9;ITGA1;;H3F3C;C2orf40
