Cluster_Astrocytes_unknown;Cluster_Myeloid_Proliferative_G2M;Cluster_Myeloid_Proliferative_S;Cluster_Stroma_unknown;Cluster_OPC;Cluster_CD4+.T.cells;Cluster_Neutrophils_Monocytes;Cluster_T.cells_core;Cluster_Macrophages_metabolic;Cluster_CD8+.T.cells_effectors;Cluster_Microglia_homeostasis;Cluster_Microglia_core;Cluster_Tregs;Cluster_CD8+.T.cells_proliferative;Cluster_Astrocytes;Cluster_NPC2+.population;Cluster_Polarized.Macrophages;Cluster_Microglia_Cytokine.Chemokyne;Cluster_Neuron_VGF+;Cluster_Proliferative.B.cells;Cluster_Endothelial_ANGPT2+;Cluster_Dendritic.cells;Cluster_Oligodendrocytes;Cluster_Perycites_COL3A1+;Cluster_Activated.B.cells;Cluster_Stroma_progenitor_HES1+;Cluster_Stroma_progenitor_DLK1+
STMN2;HIST1H4C;F13A1;IGFBP3;BCAN;CD8A;S100A8;CD2;GPNMB;GNLY;MT-ND1;IBSP;LINC00152;GZMB;CHI3L1;IGLC2;HSPA6;CCL4L2;ATP1B2;MS4A1;CLDN5;FCER1A;PLP1;RGS5;RASGRP2;HES1;NOTUM
TAC1;H2AFZ;PLIN2;SFRP4;PTPRZ1;CCL5;S100A9;CCL5;PLIN2;NKG7;MT-ATP6;PLTP;HLA-F;GZMA;GFAP;TPSAB1;HSPH1;CCL3L1;PTPRZ1;CD79A;VWF;C15orf48;MBP;IGFBP7;LIMD2;PCP4;COL1A1
NNAT;MKI67;PLAU;LOX;GPM6A;GZMA;FCN1;CD96;ADM;PRF1;MT-ND3;C1QC;OPTN;HIST1H4C;FBLN5;IGLC3;HSPB1;EGR2;PMP2;IGHM;IGFBP7;HLA-DQA1;TF;NDUFA4L2;LINC00926;RARRES2;COL18A1
SOX4;HMGB2;SERPINA1;ANGPTL4;GPR17;LCK;LYZ;SELL;ANPEP;GZMB;MT-CYB;STAB1;AC017002.1;CD3D;ACTA2;IGKC;MT1G;CCL4;VGF;BANK1;HSPG2;TACSTD2;MAG;SPARCL1;P2RX5;TPM2;ELN
SPARCL1;CENPF;S100A4;C10orf10;PCDHGC3;ITK;IL1R2;PRKCQ-AS1;HK2;KLRD1;APOE;APOC1;IKZF4;PRF1;FNDC1;IGLL5;MT1X;PDK4;METRN;CD79B;ANGPT2;HLA-DPB1;ERMN;CALD1;RPS27;LY6H;HES4
CHGB;TOP2A;CLEC5A;GAS5;TNR;CD2;S100A12;FAIM3;MT1G;SPON2;HLA-DQA1;MS4A7;HLA-A;CD8A;EFEMP1;TPSB2;BAG3;TNF;MT3;LTB;SPARC;CD1A;CNP;COL4A1;SNHG7;MT1E;DLK1
CA3;UBE2C;TGFBI;EFEMP1;TSPAN7;CXCR6;CD55;IL32;MT1X;CTSW;HLA-DRB1;C1QB;FBLN7;CD52;CYR61;CPA3;HSP90AA1;CD83;C1QL1;CD52;SPARCL1;HLA-DQB1;DBNDD2;MIR4435-1HG;FCRL1;PLAC9;EDN3
SULF1;S100A4;SLC39A1;CPA4;SEMA5A;KLRK1;CD300E;GZMA;MT2A;SLA2;CD81;VSIG4;AC002331.1;NKG7;CLU;IGHA1;HSPA1A;IL1B;PCSK1N;IGHD;COL4A1;S100B;TMEM144;DCN;LINC01781;IFITM1;PPP1R14B
GADD45G;PTTG1;ALOX5AP;CYR61;PDGFRA;CD96;CTSS;CD3D;CSTB;KLRB1;CEBPD;C1QA;ADTRP;GZMH;TAGLN;IGHG1;MT2A;CCL3;CAMK2N1;TCL1A;ELTD1;CKLF;SEPT4;COL4A2;FAM129C;PMCH;COL6A1
CALD1;BIRC5;NKIRAS2;MGP;CNTN1;IL7R;APOBEC3A;IL2RG;THBD;CD247;HLA-DPB1;CD163;LAIR2;CCL5;CTGF;JCHAIN;DNAJB1;CCL3L3;PTN;IGKC;COL4A2;HLA-DRB1;CLDN11;HIGD1B;FCRL2;RBP4;PPP1R1B
